product_id,product_type,name,base_price,currency,brand_id,brand_name,purpose
1,LAPTOP,Laptop ASUS ExpertBook B1 B1402CVA-NK0149W,7990000,VND,1,ASUS,"văn phòng|mỏng nhẹ"
2,LAPTOP,Laptop ASUS Vivobook S16 S3607CA-SH082WS,16890000,VND,1,ASUS,"văn phòng|mỏng nhẹ"
3,LAPTOP,Laptop Lenovo IdeaPad Slim 5 OLED 14AKP10 83HX001JVN,19390000,VND,2,Lenovo,"văn phòng|mỏng nhẹ|laptop AI"
4,LAPTOP,Laptop Acer Aspire Lite 16 AI AL16-71P-71WU,15990000,VND,3,Acer,"văn phòng|mỏng nhẹ|laptop AI|đồ hoạ - kỹ thuật"
5,LAPTOP,Laptop Dell 15 DC15255 HV1N4,11890000,VND,4,Dell,"văn phòng|mỏng nhẹ"
6,LAPTOP,Laptop Dell Inspiron 15 3530 N3530,11890000,VND,4,Dell,"văn phòng|mỏng nhẹ"
7,LAPTOP,Laptop HP 14-EP1178TU C89ZRPA,15590000,VND,5,HP,"văn phòng|mỏng nhẹ"
8,LAPTOP,Laptop Acer Aspire Go 15 AG15-51P-3151 NX.J4DSV.001,7290000,VND,3,Acer,"văn phòng|mỏng nhẹ|đồ hoạ - kỹ thuật"
9,LAPTOP,Laptop Acer Nitro V ANV15-41-R2UP NH.QPGSV.004,12990000,VND,3,Acer,"gaming|laptop AI|đồ hoạ - kỹ thuật"
10,LAPTOP,Laptop ASUS VivoBook 16 X1607CA-MB980W,18090000,VND,1,ASUS,"văn phòng|laptop AI|đồ hoạ - kỹ thuật"
11,LAPTOP,Laptop ASUS ZenBook 14 UM3406GA-QD073WS,33390000,VND,1,ASUS,"văn phòng|laptop AI|đồ hoạ - kỹ thuật"
12,LAPTOP,Laptop Dell Inspiron 15 3520 6R6NK V2,9590000,VND,4,Dell,"văn phòng|mỏng nhẹ|laptop AI"
13,LAPTOP,Laptop Lenovo ThinkPad X1 Carbon Gen 12 21KC008PVN,45290000,VND,2,Lenovo,"văn phòng|mỏng nhẹ|đồ hoạ - kỹ thuật"
14,LAPTOP,Laptop Lenovo V14 G5 IRL 83HD0062VA,11190000,VND,2,Lenovo,"văn phòng|mỏng nhẹ"
15,LAPTOP,Laptop MSI Katana 15 B13UDXK-2269VN V2,21990000,VND,6,MSI,"gaming|đồ hoạ - kỹ thuật"
